postcode,state,long,lat
0200,ACT,149.119,-35.2777
2540,ACT,150.61644,-34.863483
2600,ACT,149.201072,-35.302911
2601,ACT,149.113796,-35.275863
2602,ACT,149.148147,-35.248071
2603,ACT,149.125739,-35.330382
2604,ACT,149.147614,-35.336413
2605,ACT,149.093455,-35.335821
2606,ACT,149.092601,-35.351693
2607,ACT,149.094831,-35.369991
2608,ACT,149.129372,-35.282868
2609,ACT,149.1940419,-35.304469
2610,ACT,149.13,-35.2809
2611,ACT,148.784415,-35.322291
2612,ACT,149.133208,-35.270615
2614,ACT,149.049796,-35.257315
2615,ACT,149.029308,-35.215386
2616,ACT,149.070336,-35.248442
2617,ACT,149.086682,-35.231279
2618,ACT,149.043278,-35.135588
2620,ACT,149.2104515,-35.34172619
2900,ACT,149.063805,-35.41891
2901,ACT,149.069,-35.4197
2902,ACT,149.049785,-35.389263
2903,ACT,149.081776,-35.402705
2904,ACT,149.111402,-35.410206
2905,ACT,149.110025,-35.431011
2906,ACT,149.08972,-35.45676
2911,ACT,149.132505,-35.218737
2912,ACT,149.123552,-35.172453
2913,ACT,149.0947174,-35.16700193
2914,ACT,149.125877,-35.170334
1001,NSW,151.268071,-33.794883
1002,NSW,151.268071,-33.794883
1003,NSW,151.268071,-33.794883
1004,NSW,151.268071,-33.794883
1005,NSW,151.268071,-33.794883
1006,NSW,151.268071,-33.794883
1007,NSW,151.268071,-33.794883
1008,NSW,151.268071,-33.794883
1009,NSW,151.268071,-33.794883
1010,NSW,151.268071,-33.794883
1020,NSW,151.268071,-33.794883
1021,NSW,151.268071,-33.794883
1022,NSW,151.268071,-33.794883
1023,NSW,151.268071,-33.794883
1025,NSW,151.268071,-33.794883
1026,NSW,151.268071,-33.794883
1027,NSW,151.268071,-33.794883
1028,NSW,151.268071,-33.794883
1029,NSW,151.268071,-33.794883
1030,NSW,151.268071,-33.794883
1031,NSW,151.268071,-33.794883
1032,NSW,150.874182,-33.662834
1033,NSW,151.268071,-33.794883
1034,NSW,151.268071,-33.794883
1035,NSW,151.268071,-33.794883
1036,NSW,151.268071,-33.794883
1037,NSW,151.268071,-33.794883
1038,NSW,151.268071,-33.794883
1039,NSW,151.268071,-33.794883
1040,NSW,151.268071,-33.794883
1041,NSW,151.268071,-33.794883
1042,NSW,151.268071,-33.794883
1043,NSW,151.268071,-33.794883
1044,NSW,151.268071,-33.794883
1045,NSW,151.268071,-33.794883
1046,NSW,151.268071,-33.794883
1100,NSW,151.268071,-33.794883
1101,NSW,151.268071,-33.794883
1105,NSW,151.268071,-33.794883
1106,NSW,151.268071,-33.794883
1107,NSW,151.268071,-33.794883
1108,NSW,151.268071,-33.794883
1109,NSW,151.268071,-33.794883
1110,NSW,151.268071,-33.794883
1112,NSW,151.268071,-33.794883
1113,NSW,151.268071,-33.794883
1114,NSW,151.268071,-33.794883
1115,NSW,151.268071,-33.794883
1116,NSW,150.866145,-33.666729
1117,NSW,150.87022,-33.664575
1118,NSW,151.268071,-33.794883
1119,NSW,151.268071,-33.794883
1120,NSW,151.268071,-33.794883
1121,NSW,151.268071,-33.794883
1122,NSW,151.268071,-33.794883
1123,NSW,151.268071,-33.794883
1124,NSW,151.268071,-33.794883
1125,NSW,151.268071,-33.794883
1126,NSW,151.268071,-33.794883
1127,NSW,151.268071,-33.794883
1128,NSW,151.268071,-33.794883
1129,NSW,151.268071,-33.794883
1130,NSW,151.268071,-33.794883
1131,NSW,151.268071,-33.794883
1132,NSW,150.874265,-33.66279
1133,NSW,151.268071,-33.794883
1134,NSW,151.268071,-33.794883
1135,NSW,151.268071,-33.794883
1136,NSW,151.268071,-33.794883
1137,NSW,151.268071,-33.794883
1138,NSW,151.268071,-33.794883
1139,NSW,151.268071,-33.794883
1140,NSW,151.268071,-33.794883
1141,NSW,151.268071,-33.794883
1142,NSW,151.268071,-33.794883
1143,NSW,151.268071,-33.794883
1144,NSW,151.268071,-33.794883
1145,NSW,151.268071,-33.794883
1146,NSW,151.268071,-33.794883
1147,NSW,151.268071,-33.794883
1148,NSW,151.268071,-33.794883
1149,NSW,151.268071,-33.794883
1150,NSW,151.268071,-33.794883
1151,NSW,151.268071,-33.794883
